ID,PubchemFP697,PubchemFP362,maxssssC,PubchemFP314,C1SP3,ASP-6,PubchemFP443,nN,piPC8,PubchemFP380,SpMin4_Bhe,GATS7v,PubchemFP824,PubchemFP549,AATS0v,PubchemFP680,SdsCH,AATSC4m,BCUTw-1l,VC-3,Class
1053,0,0,0,0,2,0.0624,0,1,4.6563,1,0.8563,1.1082,1,0,200.581,1,0,-0.4866,11.9934,0.3952,Negative
1055,0,0,0,0,0,0.0663,1,1,0,1,0.7986,1.2406,0,1,217.1992,1,0,-11.68,11.9935,0.2123,Negative
1057,0,0,0,0,0,0.0871,0,1,0,0,0.6839,0,0,1,205.158,0,0,-9.9069,11.9935,0.0833,Negative
1068,0,0,0,0,0,0.1006,1,0,0,1,0.6763,0.824,0,0,203.0741,0,1.9838,-25.9787,11.9964,0.0962,Positive
1074,1,0,0,0,0,0.0508,1,0,5.5267,1,1.0519,1.8332,0,0,237.7685,1,0,-12.0337,11.9962,0.5603,Negative
1076,1,0,0,0,0,0.049,1,0,6.9054,1,1.0891,1.0353,0,0,238.9268,1,0,-12.3561,11.9962,0.4167,Negative
1079,0,0,0,0,0,0.064,1,0,4.343,1,0.8772,0.8608,0,0,225.4821,1,0,-8.7346,11.9962,0.2277,Positive
1094,0,0,0,0,3,0.0971,1,0,0,1,0.9203,1.3444,0,0,168.7068,0,0,-7.5353,11.89,0.25,Positive
1096,0,1,0,0,0,0.055,0,0,2.7842,0,0.6902,2.7859,1,0,297.9254,1,0,19.2408,11.9986,0.5627,Negative
1100,0,0,0,0,0,0.0666,0,2,3.1689,0,0.7066,0.7053,0,1,217.4544,1,0,-12.1253,11.85,0.2601,Negative
1103,0,0,0,0,0,0.0666,1,0,3.1689,1,0.7027,0.7847,1,0,225.1184,1,0,-13.3899,11.85,0.2525,Positive
1105,0,1,0,0,1,0.0539,1,1,4.9432,0,1.0763,1.0672,0,1,222.8195,1,0,4.6613,11.89,0.5702,Negative
1106,1,0,0,0,0,0.0516,1,0,5.7602,0,0.9601,1.0462,0,0,239.7039,1,0,-2.7872,11.9962,0.3391,Negative
1110,0,0,0,0,0,0.0625,0,0,4.3208,0,1.0484,0.6936,1,0,204.6904,1,1.8624,-3.8105,11.9962,0.2357,Positive
1115,0,0,0,0,1,0.0621,1,2,4.4953,0,0.9056,1.0848,0,1,204.1627,1,0,-4.3935,11.89,0.3277,Negative
1124,0,0,0,0,0,0.0687,0,1,2.7842,0,0.7,0.5916,0,1,226.3717,1,0,-8.4158,11.85,0.1859,Negative
1126,0,0,0,0,0,0.0764,0,0,0,0,0.6848,0,0,0,214.4747,1,0,-4.7863,11.85,0.1426,Positive
1128,0,0,0,0,0,0.058,0,0,6.1239,0,0.887,0.5338,0,0,235.7234,1,0,-7.9712,11.9962,0.2144,Negative
1129,0,0,0,0,0,0.0871,0,0,0,0,0.6816,0,0,0,214.3549,1,0,-11.952,11.9963,0.068,Negative
1132,0,0,0,0,0,0.0783,0,1,2.151,0,0.7065,0,0,1,205.7821,1,0,-14.6214,11.9963,0.1423,Positive
1148,0,0,0,0,0,0.0496,0,6,5.8732,0,1.1785,1.9218,0,0,176.2017,0,0,8.328,11.9962,0.4696,Negative
1161,0,0,0,0,2,0.0447,0,0,0,0,0.1314,0,0,0,256.526,0,0,0.3254,11.9976,0.5164,Negative
1163,0,0,0,0,0,0.044,1,1,5.5289,0,0.9696,1.597,0,1,319.6923,0,0,6.4659,11.9985,1.9278,Negative
1169,0,0,0,0,2,0.0227,0,0,3.2189,0,0.7093,0,0,0,259.2016,0,0,-2.2604,11.9975,1.3404,Negative
1170,0,1,0,0,1,0.0595,0,1,3.8408,0,0.5585,0,0,1,280.5334,0,0,-14.4402,11.9986,0.4974,Negative
1172,0,1,0,0,1,0.0602,0,0,0,0,0.3794,0,0,0,274.9371,0,0,-14.785,11.9986,0.4065,Negative
1177,0,0,0,0,0,0.0752,0,2,0,0,0.7608,0,0,0,285.6499,0,0,-6.9944,11.85,0.1667,Negative
1186,0,0,0,0,0,0.0566,0,2,6.2107,0,0.872,1.0723,0,1,313.7557,0,0,-9.6014,11.998,0.5767,Negative
1198,0,0,0,0,0,0.0495,0,1,6.3772,0,0.8843,1.1796,0,1,269.6543,0,0,-18.0695,11.9985,0.4979,Negative
1210,0,0,0,0,0,0.0664,1,1,4.1231,1,0.7986,0.8318,0,0,209.9856,1,0,-5.1237,11.85,0.2884,Positive
1212,0,0,0,0,1,0.0775,1,4,2.3026,1,0.6592,0.7675,0,0,168.5505,1,0,-5.7435,11.9936,0.2427,Negative
1217,0,0,0,0,0,0.0442,0,1,7.1995,0,1.0771,0.9481,0,1,257.4664,1,0,-4.4159,11.999,0.8647,Negative
1221,1,1,0,0,0,0.0424,0,2,7.3751,0,1.2902,0.9018,0,1,275.8679,0,0,-12.3879,11.9985,1.2317,Negative
1224,1,0,0,0,0,0.04,1,1,7.3202,0,1.137,1.0359,0,1,280.4113,1,0,-14.0881,11.85,0.9624,Negative
1229,0,1,0,0,0,0.0652,1,1,0,1,0.4505,0.9479,0,1,254.7757,1,0,-32.8552,11.9986,0.376,Negative
1236,0,0,0,0,0,0.0767,0,2,0,0,0.5403,0.9082,0,1,227.9384,0,0,-3.9271,11.85,0.2141,Negative
1240,0,0,0,0,0,0.0567,0,4,5.4548,0,0.7986,1.0975,0,1,242.549,0,0,-4.6606,11.85,0.4751,Negative
1244,0,0,0,0,0,0.0666,0,3,4.2391,0,0.562,1.0107,0,1,251.9271,0,0,-6.7876,11.999,0.2734,Negative
1260,0,0,0,0,0,0.0477,0,1,6.7107,0,0.9594,1.2395,0,1,248.8231,1,0,2.6962,11.85,0.6266,Negative
1263,0,0,0,0,0,0.067,0,2,0,0,0.3814,0,0,1,227.9384,0,0,2.1077,11.85,0.2141,Negative
1273,0,0,0,0,0,0.0567,0,2,6.1844,0,0.7112,0,0,1,228.7561,0,0,-4.3451,11.85,0.3125,Negative
1282,0,0,0,0,0,0.0833,0,1,0,0,0.2743,0,0,1,214.5595,1,0,-15.5201,11.9936,0.1479,Negative
1298,0,0,0,0,1,0.0663,1,1,0,1,0.9092,0.8615,0,0,174.2495,1,0,-4.1874,11.9,0.4012,Negative
1307,0,0,0,0,2,0.125,0,2,0,0,0.5859,0.6813,0,0,146.8779,0,0,0.1387,11.9936,0,Negative
1311,0,0,0,0,3,0.0781,0,2,3.4984,0,0.7986,1.1163,0,1,189.3381,0,0,-0.6532,11.85,0.1179,Negative
1314,0,0,0,0,10,0.0957,0,6,2.1972,0,1.2746,1.0159,0,0,149.2136,0,0,0.1423,11.9934,0,Negative
1318,0,0,0,0,0,0.0814,1,4,1.9459,0,0.7663,0.7508,0,0,168.5505,0,0,-9.6038,11.999,0.1443,Negative
